file,subject
1801.04702,Data Structures and Algorithms (cs.DS)
1801.05709,Mesoscale and Nanoscale Physics (cond-mat.mes-hall)
1801.03518,Astrophysics of Galaxies (astro-ph.GA)
1801.06271,Software Engineering (cs.SE)
1801.02151,Robotics (cs.RO)
1801.01550,High Energy Astrophysical Phenomena (astro-ph.HE)
1801.04816,Systems and Control (cs.SY)
1801.00398,Information Theory (cs.IT)
1801.09240,Databases (cs.DB)
1801.04134,Artificial Intelligence (cs.AI)
1801.03062,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
1801.00093,Materials Science (cond-mat.mtrl-sci)
1801.09455,High Energy Physics - Lattice (hep-lat)
1801.02050,Statistics Theory (math.ST)
1801.01280,Nuclear Theory (nucl-th)
1801.02614,Atomic Physics (physics.atom-ph)
1801.08598,Software Engineering (cs.SE)
1801.08571,Solar and Stellar Astrophysics (astro-ph.SR)
1801.01449,Computer Vision and Pattern Recognition (cs.CV)
1801.08313,Combinatorics (math.CO)
1801.05467,Astrophysics of Galaxies (astro-ph.GA)
1801.07504,Algebraic Topology (math.AT)
1801.03032,Computation and Language (cs.CL)
1801.09447,High Energy Physics - Theory (hep-th)
1801.06247,Soft Condensed Matter (cond-mat.soft)
1801.09128,Computer Vision and Pattern Recognition (cs.CV)
1801.02613,Learning (cs.LG)
1801.03253,Computational Geometry (cs.CG)
1801.02130,Analysis of PDEs (math.AP)
1801.00563,Information Theory (cs.IT)
1801.04305,Solar and Stellar Astrophysics (astro-ph.SR)
1801.00865,Methodology (stat.ME)
1801.00750,Applied Physics (physics.app-ph)
1801.06281,Differential Geometry (math.DG)
1801.10484,Information Theory (cs.IT)
1801.10556,"Distributed, Parallel, and Cluster Computing (cs.DC)"
1801.02244,Geometric Topology (math.GT)
1801.02244,Geometric Topology (math.GT)
1801.06434,Computer Vision and Pattern Recognition (cs.CV)
1801.01436,Quantum Gases (cond-mat.quant-gas)
1801.06666,Numerical Analysis (math.NA)
1801.04195,Dynamical Systems (math.DS)
1801.03551,Computer Vision and Pattern Recognition (cs.CV)
1801.02311,High Energy Physics - Theory (hep-th)
1801.05921,Probability (math.PR)
1801.01174,"Distributed, Parallel, and Cluster Computing (cs.DC)"
1801.09141,Solar and Stellar Astrophysics (astro-ph.SR)
